01.1,Produção de lavouras temporárias
47.59-8,Comércio varejista de artigos de uso doméstico não especificados anteriormente
4759-8/01,"Comércio varejista de artigos de tapeçaria, cortinas e persianas"
4759-8/99,Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente
47.6,"Comércio varejista de artigos culturais, recreativos e esportivos"
47.61-0,"Comércio varejista de livros, jornais, revistas e papelaria"
4761-0/01,Comércio varejista de livros
4761-0/02,Comércio varejista de jornais e revistas
4761-0/03,Comércio varejista de artigos de papelaria
47.62-8,"Comércio varejista de discos, CDs, DVDs e fitas"
4762-8/00,"Comércio varejista de discos, CDs, DVDs e fitas"
47.63-6,Comércio varejista de artigos recreativos e esportivos
4763-6/01,Comércio varejista de brinquedos e artigos recreativos
4763-6/02,Comércio varejista de artigos esportivos
4763-6/03,Comércio varejista de bicicletas e triciclos; peças e acessórios
4763-6/04,"Comércio varejista de artigos de caça, pesca e camping"
4763-6/05,Comércio varejista de embarcações e outros veículos recreativos; peças e acessórios
47.7,"Comércio varejista de produtos farmacêuticos, perfumaria e cosméticos e artigos médicos, ópticos e ortopédicos"
47.71-7,Comércio varejista de produtos farmacêuticos para uso humano e veterinário
4771-7/01,"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas"
4771-7/02,"Comércio varejista de produtos farmacêuticos, com manipulação de fórmulas"
4771-7/03,Comércio varejista de produtos farmacêuticos homeopáticos
4771-7/04,Comércio varejista de medicamentos veterinários
47.72-5,"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal"
4772-5/00,"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal"
47.73-3,Comércio varejista de artigos médicos e ortopédicos
4773-3/00,Comércio varejista de artigos médicos e ortopédicos
47.74-1,Comércio varejista de artigos de óptica
4774-1/00,Comércio varejista de artigos de óptica
47.8,Comércio varejista de produtos novos não especificados anteriormente e de produtos usados
47.81-4,Comércio varejista de artigos do vestuário e acessórios
4781-4/00,Comércio varejista de artigos do vestuário e acessórios
47.82-2,Comércio varejista de calçados e artigos de viagem
4782-2/01,Comércio varejista de calçados
4782-2/02,Comércio varejista de artigos de viagem
47.83-1,Comércio varejista de jóias e relógios
4783-1/01,Comércio varejista de artigos de joalheria
4783-1/02,Comércio varejista de artigos de relojoaria
47.84-9,Comércio varejista de gás liqüefeito de petróleo (GLP)
4784-9/00,Comércio varejista de gás liqüefeito de petróleo (GLP)
47.85-7,Comércio varejista de artigos usados
4785-7/01,Comércio varejista de antigüidades
4785-7/99,Comércio varejista de outros artigos usados
47.89-0,Comércio varejista de outros produtos novos não especificados anteriormente
4789-0/01,"Comércio varejista de suvenires, bijuterias e artesanatos"
4789-0/02,Comércio varejista de plantas e flores naturais
4789-0/03,Comércio varejista de objetos de arte
4789-0/04,Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação
4789-0/05,Comércio varejista de produtos saneantes domissanitários
4789-0/06,Comércio varejista de fogos de artifício e artigos pirotécnicos
4789-0/07,Comércio varejista de equipamentos para escritório
4789-0/08,Comércio varejista de artigos fotográficos e para filmagem
4789-0/09,Comércio varejista de armas e munições
4789-0/99,Comércio varejista de outros produtos não especificados anteriormente
47.9,Comércio ambulante e outros tipos de comércio varejista
47.90-3,Comércio ambulante e outros tipos de comércio varejista
49.1,Transporte ferroviário e metroferroviário
49.11-6,Transporte ferroviário de carga
4911-6/00,Transporte ferroviário de carga
49.12-4,Transporte metroferroviário de passageiros
4912-4/01,Transporte ferroviário de passageiros intermunicipal e interestadual
4912-4/02,Transporte ferroviário de passageiros municipal e em região metropolitana
4912-4/03,Transporte metroviário
49.2,Transporte rodoviário de passageiros
49.21-3,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal e em região metropolitana"
4921-3/01,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal"
4921-3/02,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana"
49.22-1,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, interestadual e internacional"
4922-1/01,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana"
4922-1/02,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, interestadual"
4922-1/03,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, internacional"
49.23-0,Transporte rodoviário de táxi
4923-0/01,Serviço de táxi
4923-0/02,Serviço de transporte de passageiros - locação de automóveis com motorista
49.24-8,Transporte escolar
4924-8/00,Transporte escolar
49.29-9,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, e outros transportes rodoviários não especificados anteriormente"
4929-9/01,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, municipal"
4929-9/02,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional"
4929-9/03,"Organização de excursões em veículos rodoviários próprios, municipal"
4929-9/04,"Organização de excursões em veículos rodoviários próprios, intermunicipal, interestadual e internacional"
4929-9/99,Outros transportes rodoviários de passageiros não especificados anteriormente
49.3,Transporte rodoviário de carga
49.30-2,Transporte rodoviário de carga
4930-2/01,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal"
4930-2/02,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional"
4930-2/03,Transporte rodoviário de produtos perigosos
4930-2/04,Transporte rodoviário de mudanças
49.4,Transporte dutoviário
49.40-0,Transporte dutoviário
4940-0/00,Transporte dutoviário
49.5,"Trens turísticos, teleféricos e similares"
49.50-7,"Trens turísticos, teleféricos e similares"
4950-7/00,"Trens turísticos, teleféricos e similares"
50.1,Transporte marítimo de cabotagem e longo curso
50.11-4,Transporte marítimo de cabotagem
5011-4/01,Transporte marítimo de cabotagem - Carga
5011-4/02,Transporte marítimo de cabotagem - passageiros
50.12-2,Transporte marítimo de longo curso
5012-2/01,Transporte marítimo de longo curso - Carga
5012-2/02,Transporte marítimo de longo curso - Passageiros
50.2,Transporte por navegação interior
50.21-1,Transporte por navegação interior de carga
5021-1/01,"Transporte por navegação interior de carga, municipal, exceto travessia"
5021-1/02,"Transporte por navegação interior de carga, intermunicipal, interestadual e internacional, exceto travessia"
50.22-0,Transporte por navegação interior de passageiros em linhas regulares
5022-0/01,"Transporte por navegação interior de passageiros em linhas regulares, municipal, exceto travessia"
5022-0/02,"Transporte por navegação interior de passageiros em linhas regulares, intermunicipal, interestadual e internacional, exceto travessia"
50.3,Navegação de apoio
50.30-1,Navegação de apoio
5030-1/01,Navegação de apoio marítimo
5030-1/02,Navegação de apoio portuário
5030-1/03,Serviço de rebocadores e empurradores
50.9,Outros transportes aquaviários
50.91-2,Transporte por navegação de travessia
5091-2/01,"Transporte por navegação de travessia, municipal"
5091-2/02,"Transporte por navegação de travessia intermunicipal, interestadual e internacional"
50.99-8,Transportes aquaviários não especificados anteriormente
5099-8/01,Transporte aquaviário para passeios turísticos
5099-8/99,Outros transportes aquaviários não especificados anteriormente
51.1,Transporte aéreo de passageiros
51.11-1,Transporte aéreo de passageiros regular
5111-1/00,Transporte aéreo de passageiros regular
51.12-9,Transporte aéreo de passageiros não-regular
5112-9/01,Serviço de táxi aéreo e locação de aeronaves com tripulação
5112-9/99,Outros serviços de transporte aéreo de passageiros não-regular
51.2,Transporte aéreo de carga
51.20-0,Transporte aéreo de carga
5120-0/00,Transporte aéreo de carga
51.3,Transporte espacial
51.30-7,Transporte espacial
5130-7/00,Transporte espacial
52.1,"Armazenamento, carga e descarga"
52.11-7,Armazenamento
5211-7/01,Armazéns gerais - emissão de warrant
5211-7/02,Guarda-móveis
5211-7/99,"Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis"
52.12-5,Carga e descarga
5212-5/00,Carga e descarga
52.2,Atividades auxiliares dos transportes terrestres
52.21-4,"Concessionárias de rodovias, pontes, túneis e serviços relacionados"
5221-4/00,"Concessionárias de rodovias, pontes, túneis e serviços relacionados"
52.22-2,Terminais rodoviários e ferroviários
5222-2/00,Terminais rodoviários e ferroviários
52.23-1,Estacionamento de veículos
5223-1/00,Estacionamento de veículos
52.29-0,Atividades auxiliares dos transportes terrestres não especificadas anteriormente
5229-0/01,"Serviços de apoio ao transporte por táxi, inclusive centrais de chamada"
5229-0/02,Serviços de reboque de veículos
5229-0/99,Outras atividades auxiliares dos transportes terrestres não especificadas anteriormente
52.3,Atividades auxiliares dos transportes aquaviários
52.31-1,Gestão de portos e terminais
5231-1/01,Administração da infra-estrutura portuária
5231-1/02,Atividades do Operador Portuário
5231-1/03,Gestão de terminais aquaviários 
52.32-0,Atividades de agenciamento marítimo
5232-0/00,Atividades de agenciamento marítimo
52.39-7,Atividades auxiliares dos transportes aquaviários não especificadas anteriormente
5239-7/01,Serviços de praticagem
5239-7/99,Atividades auxiliares dos transportes aquaviários não especificadas anteriormente
52.4,Atividades auxiliares dos transportes aéreos
52.40-1,Atividades auxiliares dos transportes aéreos
5240-1/01,Operação dos aeroportos e campos de aterrissagem
5240-1/99,"Atividades auxiliares dos transportes aéreos, exceto operação dos aeroportos e campos de aterrissagem"
52.5,Atividades relacionadas à organização do transporte de carga
52.50-8,Atividades relacionadas à organização do transporte de carga
5250-8/01,Comissaria de despachos
5250-8/02,Atividades de despachantes aduaneiros
5250-8/03,"Agenciamento de cargas, exceto para o transporte marítimo"
5250-8/04,Organização logística do transporte de carga
5250-8/05,Operador de transporte multimodal - OTM
53.1,Atividades de Correio
53.10-5,Atividades de Correio
5310-5/01,Atividades do Correio Nacional
5310-5/02,Atividades de franqueadas e permissionárias do Correio Nacional
53.2,Atividades de malote e de entrega
53.20-2,Atividades de malote e de entrega
5320-2/01,Serviços de malote não realizados pelo Correio Nacional
5320-2/02,Serviços de entrega rápida
55.1,Hotéis e similares
55.10-8,Hotéis e similares
5510-8/01,Hotéis
5510-8/02,Apart-hotéis
5510-8/03,Motéis
55.9,Outros tipos de alojamento não especificados anteriormente
55.90-6,Outros tipos de alojamento não especificados anteriormente
5590-6/01,"Albergues, exceto assistenciais"
5590-6/02,Campings
5590-6/03,Pensões (alojamento)
5590-6/99,Outros alojamentos não especificados anteriormente
56.1,Restaurantes e outros serviços de alimentação e bebidas
56.11-2,Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas
5611-2/01,Restaurantes e similares
5611-2/02,Bares e outros estabelecimentos especializados em servir bebidas
5611-2/03,"Lanchonetes, casas de chá, de sucos e similares"
56.12-1,Serviços ambulantes de alimentação
5612-1/00,Serviços ambulantes de alimentação
56.2,"Serviços de catering, bufê e outros serviços de comida preparada"
56.20-1,"Serviços de catering, bufê e outros serviços de comida preparada"
5620-1/01,Fornecimento de alimentos preparados preponderantemente para empresas
5620-1/02,Serviços de alimentação para eventos e recepções - bufê
5620-1/03,Cantinas - serviços de alimentação privativos
5620-1/04,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar
58.1,"Edição de livros, jornais, revistas e outras atividades de edição"
58.11-5,Edição de livros
5811-5/00,Edição de livros
58.12-3,Edição de jornais
5812-3/01,Edição de jornais diários
5812-3/02,Edição de jornais não diários
58.13-1,Edição de revistas
5813-1/00,Edição de revistas
58.19-1,"Edição de cadastros, listas e outros produtos gráficos"
5819-1/00,"Edição de cadastros, listas e outros produtos gráficos"
58.2,"Edição integrada à impressão de livros, jornais, revistas e outras publicações"
58.21-2,Edição integrada à impressão de livros
5821-2/00,Edição integrada à impressão de livros
58.22-1,Edição integrada à impressão de jornais
5822-1/01,Edição integrada à impressão de jornais diários
5822-1/02,Edição integrada à impressão de jornais não diários
58.23-9,Edição integrada à impressão de revistas
5823-9/00,Edição integrada à impressão de revistas
58.29-8,"Edição integrada à impressão de cadastros, listas e outros produtos gráficos"
5829-8/00,"Edição integrada à impressão de cadastros, listas e outros produtos gráficos"
59.1,"Atividades cinematográficas, produção de vídeos e de programas de televisão"
59.11-1,"Atividades de produção cinematográfica, de vídeos e de programas de televisão"
5911-1/01,Estúdios cinematográficos
5911-1/02,Produção de filmes para publicidade
5911-1/99,"Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente"
59.12-0,"Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão"
5912-0/01,Serviços de dublagem
5912-0/02,Serviços de mixagem sonora em produção audiovisual
5912-0/99,"Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente"
59.13-8,"Distribuição cinematográfica, de vídeo e de programas de televisão"
5913-8/00,"Distribuição cinematográfica, de vídeo e de programas de televisão"
59.14-6,Atividades de exibição cinematográfica
5914-6/00,Atividades de exibição cinematográfica
59.2,Atividades de gravação de som e de edição de música
59.20-1,Atividades de gravação de som e de edição de música
5920-1/00,Atividades de gravação de som e de edição de música
60.1,Atividades de rádio
60.10-1,Atividades de rádio
6010-1/00,Atividades de rádio
60.2,Atividades de televisão
60.21-7,Atividades de televisão aberta
6021-7/00,Atividades de televisão aberta
60.22-5,Programadoras e atividades relacionadas à televisão por assinatura
6022-5/01,Programadoras
6022-5/02,"Atividades relacionadas à televisão por assinatura, exceto programadoras"
61.1,Telecomunicações por fio
61.10-8,Telecomunicações por fio
6110-8/01,Serviços de telefonia fixa comutada - STFC
6110-8/02,Serviços de redes de transporte de telecomunicações - SRTT
6110-8/03,Serviços de comunicação multimídia - SCM
6110-8/99,Serviços de telecomunicações por fio não especificados anteriormente
61.2,Telecomunicações sem fio
61.20-5,Telecomunicações sem fio
6120-5/01,Telefonia móvel celular
6120-5/02,Serviço móvel especializado - SME
6120-5/99,Serviços de telecomunicações sem fio não especificados anteriormente
61.3,Telecomunicações por satélite
61.30-2,Telecomunicações por satélite
6130-2/00,Telecomunicações por satélite
61.4,Operadoras de televisão por assinatura
61.41-8,Operadoras de televisão por assinatura por cabo
6141-8/00,Operadoras de televisão por assinatura por cabo
61.42-6,Operadoras de televisão por assinatura por microondas
6142-6/00,Operadoras de televisão por assinatura por microondas
61.43-4,Operadoras de televisão por assinatura por satélite
6143-4/00,Operadoras de televisão por assinatura por satélite
61.9,Outras atividades de telecomunicações
61.90-6,Outras atividades de telecomunicações
6190-6/01,Provedores de acesso às redes de comunicações
6190-6/02,Provedores de voz sobre protocolo internet - VOIP
6190-6/99,Outras atividades de telecomunicações não especificadas anteriormente
62.0,Atividades dos serviços de tecnologia da informação
62.01-5,Desenvolvimento de programas de computador sob encomenda
6201-5/01,Desenvolvimento de programas de computador sob encomenda
6201-5/02,Web design
62.02-3,Desenvolvimento e licenciamento de programas de computador customizáveis
6202-3/00,Desenvolvimento e licenciamento de programas de computador customizáveis
62.03-1,Desenvolvimento e licenciamento de programas de computador não-customizáveis
6203-1/00,Desenvolvimento e licenciamento de programas de computador não-customizáveis
62.04-0,Consultoria em tecnologia da informação
6204-0/00,Consultoria em tecnologia da informação
62.09-1,"Suporte técnico, manutenção e outros serviços em tecnologia da informação"
6209-1/00,"Suporte técnico, manutenção e outros serviços em tecnologia da informação"
63.0,ATIVIDADES DE PRESTAÇÃO DE SERVIÇOS DE INFORMAÇÃO
63.1,"Tratamento de dados, hospedagem na internet e outras atividades relacionadas"
63.11-9,"Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet"
6311-9/00,"Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet"
63.19-4,"Portais, provedores de conteúdo e outros serviços de informação na internet"
6319-4/00,"Portais, provedores de conteúdo e outros serviços de informação na internet"
63.9,Outras atividades de prestação de serviços de informação
63.91-7,Agências de notícias
6391-7/00,Agências de notícias
63.99-2,Outras atividades de prestação de serviços de informação não especificadas anteriormente
6399-2/00,Outras atividades de prestação de serviços de informação não especificadas anteriormente
64.1,Banco Central
64.10-7,Banco Central
6410-7/00,Banco Central
64.2,Intermediação monetária - depósitos à vista
64.21-2,Bancos comerciais
6421-2/00,Bancos comerciais
64.22-1,"Bancos múltiplos, com carteira comercial"
6422-1/00,"Bancos múltiplos, com carteira comercial"
64.23-9,Caixas econômicas
6423-9/00,Caixas econômicas
64.24-7,Crédito cooperativo
6424-7/01,Bancos cooperativos
6424-7/02,Cooperativas centrais de crédito
6424-7/03,Cooperativas de crédito mútuo
6424-7/04,Cooperativas de crédito rural
64.3,Intermediação não-monetária - outros instrumentos de captação
64.31-0,"Bancos múltiplos, sem carteira comercial"
6431-0/00,"Bancos múltiplos, sem carteira comercial"
64.32-8,Bancos de investimento
6432-8/00,Bancos de investimento
64.33-6,Bancos de desenvolvimento
6433-6/00,Bancos de desenvolvimento
64.34-4,Agências de fomento
6434-4/00,Agências de fomento
64.35-2,Crédito imobiliário
6435-2/01,Sociedades de crédito imobiliário
6435-2/02,Associações de poupança e empréstimo
6435-2/03,Companhias hipotecárias
64.36-1,"Sociedades de crédito, financiamento e investimento - financeiras"
6436-1/00,"Sociedades de crédito, financiamento e investimento - financeiras"
64.37-9,Sociedades de crédito ao microempreendedor
6437-9/00,Sociedades de crédito ao microempreendedor
64.38-7,Bancos de câmbio e outras instituições de intermediação não-monetária
6438-7/01,Bancos de câmbio
6438-7/99,Outras instituições de intermediação não-monetária não especificadas anteriormente
64.4,Arrendamento mercantil
64.40-9,Arrendamento mercantil
6440-9/00,Arrendamento mercantil
64.5,Sociedades de capitalização
64.50-6,Sociedades de capitalização
6450-6/00,Sociedades de capitalização
64.6,Atividades de sociedades de participação
64.61-1,Holdings de instituições financeiras
6461-1/00,Holdings de instituições financeiras
64.62-0,Holdings de instituições não-financeiras
6462-0/00,Holdings de instituições não-financeiras
64.63-8,"Outras sociedades de participação, exceto holdings"
6463-8/00,"Outras sociedades de participação, exceto holdings"
64.7,Fundos de investimento
64.70-1,Fundos de investimento
6470-1/01,"Fundos de investimento, exceto previdenciários e imobiliários"
6470-1/02,Fundos de investimento previdenciários
6470-1/03,Fundos de investimento imobiliários
64.9,Atividades de serviços financeiros não especificadas anteriormente
64.91-3,Sociedades de fomento mercantil - factoring
6491-3/00,Sociedades de fomento mercantil - factoring
64.92-1,Securitização de créditos
6492-1/00,Securitização de créditos
64.93-0,Administração de consórcios para aquisição de bens e direitos
6493-0/00,Administração de consórcios para aquisição de bens e direitos
64.99-9,Outras atividades de serviços financeiros não especificadas anteriormente
6499-9/01,Clubes de investimento
6499-9/02,Sociedades de investimento
6499-9/03,Fundo garantidor de crédito
6499-9/04,Caixas de financiamento de corporações
6499-9/05,Concessão de crédito pelas OSCIP
6499-9/99,Outras atividades de serviços financeiros não especificadas anteriormente
65.1,Seguros de vida e não-vida
65.11-1,Seguros de vida
6511-1/01,Sociedade seguradora de seguros vida
6511-1/02,Planos de auxílio-funeral
65.12-0,Seguros não-vida
6512-0/00,Sociedade seguradora de seguros não vida
65.2,Seguros-saúde
65.20-1,Seguros-saúde
6520-1/00,Sociedade seguradora de seguros saúde
65.3,Resseguros
65.30-8,Resseguros
6530-8/00,Resseguros
65.4,Previdência complementar
65.41-3,Previdência complementar fechada
6541-3/00,Previdência complementar fechada
65.42-1,Previdência complementar aberta
6542-1/00,Previdência complementar aberta
65.5,Planos de saúde
65.50-2,Planos de saúde
6550-2/00,Planos de saúde
66.1,Atividades auxiliares dos serviços financeiros
66.11-8,Administração de bolsas e mercados de balcão organizados
6611-8/01,Bolsa de valores
6611-8/02,Bolsa de mercadorias
6611-8/03,Bolsa de mercadorias e futuros
6611-8/04,Administração de mercados de balcão organizados
66.12-6,"Atividades de intermediários em transações de títulos, valores mobiliários e mercadorias"
6612-6/01,Corretoras de títulos e valores mobiliários
6612-6/02,Distribuidoras de títulos e valores mobiliários
6612-6/03,Corretoras de câmbio
6612-6/04,Corretoras de contratos de mercadorias
6612-6/05,Agentes de investimentos em aplicações financeiras
66.13-4,Administração de cartões de crédito
6613-4/00,Administração de cartões de crédito
66.19-3,Atividades auxiliares dos serviços financeiros não especificadas anteriormente
6619-3/01,Serviços de liquidação e custódia
6619-3/02,Correspondentes de instituições financeiras
6619-3/03,Representações de bancos estrangeiros
6619-3/04,Caixas eletrônicos
6619-3/05,Operadoras de cartões de débito
6619-3/99,Outras atividades auxiliares dos serviços financeiros não especificadas anteriormente
66.2,"Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde"
66.21-5,Avaliação de riscos e perdas
6621-5/01,Peritos e avaliadores de seguros
6621-5/02,Auditoria e consultoria atuarial
66.22-3,"Corretores e agentes de seguros, de planos de previdência complementar e de saúde"
6622-3/00,"Corretores e agentes de seguros, de planos de previdência complementar e de saúde"
66.29-1,"Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente"
6629-1/00,"Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente"
66.3,Atividades de administração de fundos por contrato ou comissão
66.30-4,Atividades de administração de fundos por contrato ou comissão
6630-4/00,Atividades de administração de fundos por contrato ou comissão
68.1,Atividades imobiliárias de imóveis próprios
68.10-2,Atividades imobiliárias de imóveis próprios
6810-2/01,Compra e venda de imóveis próprios
6810-2/02,Aluguel de imóveis próprios
6810-2/03,Loteamento de imóveis próprios
68.2,Atividades imobiliárias por contrato ou comissão
68.21-8,"Intermediação na compra, venda e aluguel de imóveis"
6821-8/01,Corretagem na compra e venda e avaliação de imóveis
6821-8/02,Corretagem no aluguel de imóveis
68.22-6,Gestão e administração da propriedade imobiliária
6822-6/00,Gestão e administração da propriedade imobiliária
69.1,Atividades jurídicas
69.11-7,"Atividades jurídicas, exceto cartórios"
6911-7/01,Serviços advocatícios
6911-7/02,Atividades auxiliares da justiça
6911-7/03,Agente de propriedade industrial
69.12-5,Cartórios
6912-5/00,Cartórios
69.2,"Atividades de contabilidade, consultoria e auditoria contábil e tributária"
69.20-6,"Atividades de contabilidade, consultoria e auditoria contábil e tributária"
6920-6/01,Atividades de contabilidade
6920-6/02,Atividades de consultoria e auditoria contábil e tributária
70.1,Sedes de empresas e unidades administrativas locais
70.10-7,Sedes de empresas e unidades administrativas locais
70.2,Atividades de consultoria em gestão empresarial
70.20-4,Atividades de consultoria em gestão empresarial
7020-4/00,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica"
71.1,Serviços de arquitetura e engenharia e atividades técnicas relacionadas
71.11-1,Serviços de arquitetura
7111-1/00,Serviços de arquitetura
71.12-0,Serviços de engenharia
7112-0/00,Serviços de engenharia
71.19-7,Atividades técnicas relacionadas à arquitetura e engenharia
7119-7/01,"Serviços de cartografia, topografia e geodésia"
7119-7/02,Atividades de estudos geológicos
7119-7/03,Serviços de desenho técnico relacionados à arquitetura e engenharia
7119-7/04,Serviços de perícia técnica relacionados à segurança do trabalho
7119-7/99,Atividades técnicas relacionadas à engenharia e arquitetura não especificadas anteriormente
71.2,Testes e análises técnicas
71.20-1,Testes e análises técnicas
7120-1/00,Testes e análises técnicas
72.1,Pesquisa e desenvolvimento experimental em ciências físicas e naturais
72.10-0,Pesquisa e desenvolvimento experimental em ciências físicas e naturais
7210-0/00,Pesquisa e desenvolvimento experimental em ciências físicas e naturais
72.2,Pesquisa e desenvolvimento experimental em ciências sociais e humanas
72.20-7,Pesquisa e desenvolvimento experimental em ciências sociais e humanas
7220-7/00,Pesquisa e desenvolvimento experimental em ciências sociais e humanas
73.1,Publicidade
73.11-4,Agências de publicidade
7311-4/00,Agências de publicidade
73.12-2,"Agenciamento de espaços para publicidade, exceto em veículos de comunicação"
7312-2/00,"Agenciamento de espaços para publicidade, exceto em veículos de comunicação"
73.19-0,Atividades de publicidade não especificadas anteriormente
7319-0/01,Criação de estandes para feiras e exposições
7319-0/02,Promoção de vendas
7319-0/03,Marketing direto
7319-0/04,Consultoria em publicidade
7319-0/99,Outras atividades de publicidade não especificadas anteriormente
73.2,Pesquisas de mercado e de opinião pública
73.20-3,Pesquisas de mercado e de opinião pública
7320-3/00,Pesquisas de mercado e de opinião pública
74.1,Design e decoração de interiores
74.10-2,Design e decoração de interiores
7410-2/02,Design de interiores
7410-2/03,Design de produto
7410-2/99,Atividades de design não especificadas anteriormente
74.2,Atividades fotográficas e similares
74.20-0,Atividades fotográficas e similares
7420-0/01,"Atividades de produção de fotografias, exceto aérea e submarina"
7420-0/02,Atividades de produção de fotografias aéreas e submarinas
7420-0/03,Laboratórios fotográficos
7420-0/04,Filmagem de festas e eventos
7420-0/05,Serviços de microfilmagem
74.9,"Atividades profissionais, científicas e técnicas não especificadas anteriormente"
74.90-1,"Atividades profissionais, científicas e técnicas não especificadas anteriormente"
7490-1/01,"Serviços de tradução, interpretação e similares"
7490-1/02,Escafandria e mergulho
7490-1/03,Serviços de agronomia e de consultoria às atividades agrícolas e pecuárias
7490-1/04,"Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários"
7490-1/05,"Agenciamento de profissionais para atividades esportivas, culturais e artísticas"
7490-1/99,"Outras atividades profissionais, científicas e técnicas não especificadas anteriormente"
75.0,Atividades veterinárias
75.00-1,Atividades veterinárias
7500-1/00,Atividades veterinárias
77.1,Locação de meios de transporte sem condutor
77.11-0,Locação de automóveis sem condutor
7711-0/00,Locação de automóveis sem condutor
77.19-5,"Locação de meios de transporte, exceto automóveis, sem condutor"
7719-5/01,"Locação de embarcações sem tripulação, exceto para fins recreativos"
7719-5/02,Locação de aeronaves sem tripulação
7719-5/99,"Locação de outros meios de transporte não especificados anteriormente, sem condutor"
77.2,Aluguel de objetos pessoais e domésticos
77.21-7,Aluguel de equipamentos recreativos e esportivos
7721-7/00,Aluguel de equipamentos recreativos e esportivos
77.22-5,"Aluguel de fitas de vídeo, DVDs e similares"
7722-5/00,"Aluguel de fitas de vídeo, DVDs e similares"
77.23-3,"Aluguel de objetos do vestuário, jóias e acessórios"
7723-3/00,"Aluguel de objetos do vestuário, jóias e acessórios"
77.29-2,Aluguel de objetos pessoais e domésticos não especificados anteriormente
7729-2/01,Aluguel de aparelhos de jogos eletrônicos
7729-2/02,"Aluguel de móveis, utensílios e aparelhos de uso doméstico e pessoal; instrumentos musicais"
7729-2/03,Aluguel de material médico
7729-2/99,Aluguel de outros objetos pessoais e domésticos não especificados anteriormente
77.3,Aluguel de máquinas e equipamentos sem operador
77.31-4,Aluguel de máquinas e equipamentos agrícolas sem operador
7731-4/00,Aluguel de máquinas e equipamentos agrícolas sem operador
77.32-2,Aluguel de máquinas e equipamentos para construção sem operador
7732-2/01,"Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes"
7732-2/02,Aluguel de andaimes
77.33-1,Aluguel de máquinas e equipamentos para escritório
7733-1/00,Aluguel de máquinas e equipamentos para escritório
77.39-0,Aluguel de máquinas e equipamentos não especificados anteriormente
7739-0/01,"Aluguel de máquinas e equipamentos para extração de minérios e petróleo, sem operador"
7739-0/02,"Aluguel de equipamentos científicos, médicos e hospitalares, sem operador"
7739-0/03,"Aluguel de palcos, coberturas e outras estruturas de uso temporário, exceto andaimes"
7739-0/99,"Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador"
77.4,Gestão de ativos intangíveis não-financeiros
77.40-3,Gestão de ativos intangíveis não-financeiros
7740-3/00,Gestão de ativos intangíveis não-financeiros
78.1,Seleção e agenciamento de mão-de-obra
78.10-8,Seleção e agenciamento de mão-de-obra
7810-8/00,Seleção e agenciamento de mão-de-obra
78.2,Locação de mão-de-obra temporária
78.20-5,Locação de mão-de-obra temporária
7820-5/00,Locação de mão-de-obra temporária
78.3,Fornecimento e gestão de recursos humanos para terceiros
78.30-2,Fornecimento e gestão de recursos humanos para terceiros
7830-2/00,Fornecimento e gestão de recursos humanos para terceiros
79.1,Agências de viagens e operadores turísticos
79.11-2,Agências de viagens
7911-2/00,Agências de viagens
79.12-1,Operadores turísticos
7912-1/00,Operadores turísticos
79.9,Serviços de reservas e outros serviços de turismo não especificados anteriormente
79.90-2,Serviços de reservas e outros serviços de turismo não especificados anteriormente
7990-2/00,Serviços de reservas e outros serviços de turismo não especificados anteriormente
